Exam,Type,Q#,Course/Grade,IM - Unit,IM - Section,Cluster,Standard,Curriculum Notes
2023,MC,31,7th Grade,8,Data Sets and Distributions (6th Grade),Statistics and Probability,NY-6.SP.5a,"Grade 6, Unit 8, Lesson 4: ""Dot Plots"" 
From the ""Homework Time"" activity: 
""Twenty-five sixth-grade students answered the question: 'How many hours do you generally spend on homework each week?' This dot plot shows the number of hours per week that these 25 students reported spending on homework."""
2023,MC,32,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.3,"Grade 7, Unit 4, Lesson 12: ""Solving Multi-step Percentage Problems"" 
From the ""What Is the Percentage?"" activity: 
""The bill for a meal was $33.75. The customer left $40.00. What percentage of the bill was the tip?"""
2023,MC,33,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.1,"Grade 7, Unit 4, Lesson 2: ""Ratios and Rates with Fractions""
From the ""Comparing Running Speeds"" activity:
""A cyclist travels 3 3/4 miles in 1/3 hour. What is the unit rate in miles per hour?"""
2023,MC,34,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-7.SP.8a,"Grade 7, Unit 8, Lesson 3: ""What Are Probabilities?"" 
From the ""What's Possible?"" activity: 
""Kiran selects a letter at random from the word 'MATH'."""
2023,MC,35,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.3,"Grade 7, Unit 6, Lesson 11: ""Using Equations to Solve Problems""
From the ""At the Community Festival"" activity: 
""A family of 6 goes to the festival. They have a coupon for 1.50 off each ticket. If they pay 46.50 for all their tickets, how much does each ticket cost without the coupon?"""
2023,MC,36,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.1b,"Grade 7, Unit 5, Lesson 7: ""Adding and Subtracting to Solve Problems"" 
From the ""Positive or Negative?"" activity: 
""Is the solution to -2.7 + x = -3.5 positive or negative?"""
2023,MC,37,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4b,"Grade 7, Unit 6, Lesson 14: ""Finding Solutions to Inequalities in Context"" 
From the ""Earning Money for Soccer Stuff"" activity: 
""Diego has 45 to spend at the carnival. The entrance fee is 12 and each ride ticket costs $2.50. Let x represent the number of ride tickets. Write and solve an inequality to find how many ride tickets Diego can buy."""
2023,MC,38,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.3,"Grade 7, Unit 4, Lesson 12: ""Solving Multi-step Percentage Problems"" 
From the ""What Is the Percentage?"" activity: 
""The original price of a bicycle was 375. Now it is on sale for 295. What percentage of the original price was the markdown?"""
2023,CR,39,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2b,"Grade 7, Unit 2, Lesson 2: ""Introducing Proportional Relationships with Tables"" 
From the ""Making Coco Bread"" activity:
""A bakery uses 200 milliliters of coconut milk for every 360 grams of flour to make coco bread. Complete the table and answer: How many grams of flour do they use with 500 milliliters of coconut milk? How many milliliters of coconut milk do they use with 450 grams of flour? What is the constant of proportionality in this relationship?"""
2023,CR,40,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.3,"Grade 7, Unit 5, Lesson 14: ""Solving Problems with Rational Numbers"" 
From the ""Solar Power"" activity: 
""A family has solar panels on their roof. One cloudy day, the family uses 32.4 kWh of electricity, and their solar panels generate 9.2 kWh. One sunny day, the family uses 36.1 kWh of electricity, and their solar panels generate 45.7 kWh. Calculate the family's net consumption of electricity for each day. What is the average daily consumption? If electricity costs $0.16 per kWh, what is their average daily cost?"""
2023,CR,41,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.1,"Grade 7, Unit 6, Lesson 19: ""Expanding and Factoring"" 
From the ""Factoring and Expanding with Negative Numbers"" activity: 
""Complete the table by writing equivalent expressions. The first one is done for you: Factored: -3(5 - 2y) Expanded: -15 + 6y"""
2023,CR,42,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2c,"Grade 7, Unit 2, Lesson 4: ""Proportional Relationships and Equations"" 
From the ""Denver to Chicago"" activity: 
""A plane flew at a constant speed between Denver and Chicago. It took the plane 1.5 hours to fly 915 miles. Complete the table. If d represents the distance that the plane flies at this speed for t hours, write an equation that relates t and d."""
2023,CR,43,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4b,"Grade 7, Unit 6, Lesson 14: ""Finding Solutions to Inequalities in Context"" 
From the ""Earning Money for Soccer Stuff"" activity: 
""Diego has 45 to spend at the carnival. The entrance fee is 12 and each ride ticket costs $2.50. Let x represent the number of ride tickets. Write and solve an inequality to find how many ride tickets Diego can buy."""
2023,CR,44,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-7.SP.8b,"Grade 7, Unit 8, Lesson 8: ""Keeping Track of All Possible Outcomes""
From the ""Lists, Tables, and Trees"" activity: 
""Spin a color, then spin a number."" [Shows two spinners: one with 4 equal sections (R, B, G, Y) and one with 5 equal sections (1, 2, 3, 4, 5)]"
2023,CR,45,7th Grade,1,Scale Drawings,Geometry,NY-7.G.1,"Grade 7, Unit 1, Lesson 12: ""Units in Scale Drawings""
From the ""Pondering Pools"" activity: 
""The kidney-shaped pool has an area of 3.2 cm² on the drawing. What is its actual area? The scale of the floor plan is 1 cm to 15 m."""
2023,CR,46,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.1b,"Grade 7, Unit 5, Lesson 3: ""Changing Elevation"" 
From the ""Cliffs and Caves"" activity: 
""A spelunker is down in a cave next to the cliff. If she climbs down deeper into the cave, this will be a negative change. If she climbs up, whether inside the cave or out of the cave and up the cliff, this will be a positive change."""
2023,CR,47,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.3,"Grade 7, Unit 6, Lesson 11: ""Using Equations to Solve Problems""
From the ""At the Community Festival"" activity: 
""A family of 6 goes to the festival. They have a coupon for 1.50 off each ticket. If they pay 46.50 for all their tickets, how much does each ticket cost without the coupon?"""
2023,CR,48,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.3,"Grade 7, Unit 4, Lesson 12: ""Solving Multi-step Percentage Problems"" 
From the ""What Is the Percentage?"" activity: ""The original price of a bicycle was 375. Now it is on sale for 295. What percentage of the original price was the markdown?"""
